,text,text
0,"(0.0, 0.556, 0.444, 0.4927, 'Positive')",the pizza was really good  
1,"(0.0, 1.0, 0.0, 0.0, 'Neutral')",knowledge of the chef and the waitress are below average  
2,"(0.0, 0.577, 0.423, 0.296, 'Positive')",the service was ok  
3,"(0.0, 0.66, 0.34, 0.7713, 'Positive')",i 'm happy to have nosh in the neighborhood and the food is very comforting  
4,"(0.0, 0.605, 0.395, 0.5046, 'Positive')",indoor was very cozy and cute  
5,"(0.0, 0.654, 0.346, 0.5719, 'Positive')",ballato 's is consistently delicious authentic italian food  
6,"(0.194, 0.806, 0.0, -0.5885, 'Negative')",while the room is not particularly comfortable   once you 're seated you 'll forget about everything except what 's on your plate  
7,"(0.0, 0.653, 0.347, 0.4927, 'Positive')",the dim sum however was very good  
8,"(0.0, 0.945, 0.055, 0.1603, 'Positive')",we have never had any problems with charging the meal or the tip   and the food was delivered quickly   but we live only a few minutes walk from them  
9,"(0.0, 0.661, 0.339, 0.6249, 'Positive')",spreads and toppings are great   though a bit pricey  
10,"(0.0, 1.0, 0.0, 0.0, 'Neutral')",i 've eaten thai many times   and am very familiar with the cuisine  
11,"(0.0, 0.6, 0.4, 0.6114, 'Positive')",the food is authentic italian   delicious !
12,"(0.0, 0.808, 0.192, 0.5859, 'Positive')",i recently went to this restaurant with some co workers for lunch and had an amazing time  
13,"(0.0, 0.87, 0.13, 0.5423, 'Positive')",it 's constantly open   catering to the pakistani cabbies lined up on crosby st    so there 's more turnover with the food than you 'd expect ( i e    surprisingly fresh )  
14,"(0.0, 0.494, 0.506, 0.6249, 'Positive')",great vibe   lots of people  
15,"(0.0, 1.0, 0.0, 0.0, 'Neutral')",the cuisine from what i 've gathered is authentic taiwanese   though its very different from what i 've been accustomed to in taipei  
16,"(0.0, 0.759, 0.241, 0.2263, 'Positive')",always a nice crowd   but never loud  
17,"(0.028, 0.933, 0.039, 0.1779, 'Positive')",besides having the table we had been promised given to other restaurant patrons twice before we were actually seated   we were served dishes we had n't ordered three times   received one of our orders    minutes after the rest of the table had been served ( and that order was undercooked )   and charged      more than we should have been on our bill  
18,"(0.182, 0.818, 0.0, -0.5531, 'Negative')",the bartender on my most recent visit was so incredibly rude that i will never go back  
19,"(0.085, 0.741, 0.175, 0.4019, 'Positive')",the strong scents coming from the left and right of me negatively affected my taste buds  
20,"(0.0, 0.685, 0.315, 0.8316, 'Positive')",the chicken and steak were seasoned and cooked to perfection   and the lamb sandwhich is great for heartier appetites  
21,"(0.0, 0.778, 0.222, 0.5719, 'Positive')",the restaurant is rather small but we were lucky to get a table quickly  
22,"(0.0, 0.617, 0.383, 0.7351, 'Positive')",at taj   vegetarians can rejoice all the dishes are manna from heaven  
23,"(0.0, 0.688, 0.312, 0.7783, 'Positive')",kosher dills are the perfect compliment for your unforgetable sandwich and they give you plenty of them  
24,"(0.0, 0.582, 0.418, 0.4351, 'Positive')",fish is so very fresh  
25,"(0.0, 0.854, 0.146, 0.4404, 'Positive')",the lobster sandwich is      and although it was good it was not nearly enough to warrant that price  
26,"(0.0, 0.667, 0.333, 0.6114, 'Positive')",largest and freshest pieces of sushi   and delicious !
27,"(0.098, 0.724, 0.178, 0.5486, 'Positive')",i have been coming here for years and have nothing but good things to say about the service and the great staff at la lanterna  
28,"(0.431, 0.51, 0.059, -0.928, 'Negative')",the environment is romantic   but the food is horrible   the service is pathetic   and gabriella lies about everything she could  
