id,text,target_predito,target_llm,target_vader
19784.0,The pizza was really good .,positive,positive,positive
19788.0,Knowledge of the chef and the waitress are below average .,negative,negative,neutral
19792.0,The service was ok .,negative,neutral,positive
19796.0,I 'm happy to have Nosh in the neighborhood and the food is very comforting .,positive,positive,positive
19800.0,Indoor was very cozy and cute .,positive,positive,positive
19804.0,Ballato 's is consistently delicious authentic italian food .,positive,positive,positive
19808.0,"While the room is not particularly comfortable , once you 're seated you 'll forget about everything except what 's on your plate .",negative,positive,negative
19812.0,The dim sum however was very good .,positive,positive,positive
19816.0,"We have never had any problems with charging the meal or the tip , and the food was delivered quickly , but we live only a few minutes walk from them .",negative,positive,positive
19820.0,Spreads and toppings are great - though a bit pricey .,positive,positive,positive
19824.0,"I 've eaten thai many times , and am very familiar with the cuisine .",positive,neutral,neutral
19828.0,The food is authentic Italian - delicious !,positive,positive,positive
19832.0,I recently went to this restaurant with some co-workers for lunch and had an amazing time .,positive,positive,positive
19836.0,"It 's constantly open , catering to the Pakistani cabbies lined up on Crosby St. , so there 's more turnover with the food than you 'd expect ( i.e. , surprisingly fresh ) .",positive,positive,positive
19840.0,"Great vibe , lots of people .",positive,positive,positive
19844.0,"The cuisine from what I 've gathered is authentic Taiwanese , though its very different from what I 've been accustomed to in Taipei .",positive,neutral,neutral
19848.0,"Always a nice crowd , but never loud .",positive,positive,positive
19852.0,"Besides having the table we had been promised given to other restaurant patrons twice before we were actually seated , we were served dishes we had n't ordered three times , received one of our orders 20 minutes after the rest of the table had been served ( and that order was undercooked ) , and charged $ 45 more than we should have been on our bill .",negative,negative,positive
19856.0,The bartender on my most recent visit was so incredibly rude that I will never go back .,negative,negative,negative
19860.0,The strong scents coming from the left and right of me negatively affected my taste buds .,positive,negative,positive
19864.0,"The chicken and steak were seasoned and cooked to perfection , and the lamb sandwhich is great for heartier appetites .",positive,positive,positive
19868.0,The restaurant is rather small but we were lucky to get a table quickly .,positive,positive,positive
19872.0,"at taj , vegetarians can rejoice-all the dishes are manna from heaven .",positive,positive,positive
19876.0,Kosher dills are the perfect compliment for your unforgetable sandwich and they give you plenty of them .,positive,positive,positive
19880.0,Fish is so very fresh .,positive,positive,positive
19884.0,The lobster sandwich is $ 24 and although it was good it was not nearly enough to warrant that price .,negative,negative,positive
19888.0,"Largest and freshest pieces of sushi , and delicious !",positive,positive,positive
19892.0,I have been coming here for years and have nothing but good things to say about the service and the great staff at La Lanterna .,positive,positive,positive
19896.0,"The environment is romantic , but the food is horrible , the service is pathetic , and gabriella lies about everything she could .",positive,negative,negative
19900.0,This is the perfect date spot for Williamsburg couples .,positive,positive,positive
19904.0,"If I could rate the people this place would be off the charts - unfortunately - the pizza , sorry - not the best in NYC .",positive,negative,negative
19908.0,The lamb meat was under-cooked and EXTRMELY CHEWY .,negative,negative,neutral
19912.0,"The pesto pizza was excellent , thin-crust pizza with a nice amount of spicy Italian cheese that I 'd never heard of before .",positive,positive,positive
19916.0,"The in-house lady DJ on Saturday nights has outrageously good taste in music , and moreover , takes requests .",positive,positive,positive
19920.0,"They are still living in the dark ages and do not have an answering machine , so if you want to make a reservation you are limited .",positive,negative,negative
19924.0,So all I 'm trying to say is this restaurant is by far the best thai food restaurant I 've ever been to .,positive,positive,positive
19928.0,"The last two times I ordered from here my food was soo spicy that I could barely eat it , and the spice took away from the flavor of the dish .",negative,negative,neutral
19932.0,"The bruscetta is a bit soggy , but the salads were fresh , included a nice mix of greens ( not iceberg ) all dishes are served piping hot from the kitchen .",positive,positive,positive
19936.0,And at the conclusion of this culinary nightmare the check was given to our table by knocking over a glass of water .,negative,negative,neutral
19940.0,"If you 're not familiar with the cuisine , you may encounter problems ordering here and be sure to bring plenty of cash with you as they do n't accept credit cards .",positive,negative,negative
19944.0,IT IS WHAT MODERN CUISINE IS ALL ABOUT .,positive,positive,neutral
19948.0,"In fact , two people could really share one plate .",positive,positive,positive
19952.0,"Very excited to hear that short-term Chef Jason Narone has moved on , he truly was a low point of their Sterling track record .",positive,negative,positive
19956.0,"All the money went into the interior decoration , none of it went to the chefs .",negative,negative,neutral
19960.0,"Besides , when you have bad service , that 's less money you have to tip .",negative,negative,negative
19964.0,And the fried clams had just enough kick to them to make 'em worth eating .,positive,positive,positive
19968.0,"So , a little inconsistency there but either way , both pizzas were really good .",positive,positive,positive
19972.0,"It costs $ 2 extra to turn a regular roll into an inside-out roll , but the roll more than triples in size , and that 's not just from the rice .",negative,positive,neutral
19976.0,Pizza was a little soggy .,negative,negative,neutral
19980.0,The staff was the friendliest that have seen in New York .,positive,positive,positive
19984.0,We began with the cheese fondue ( the artisanal blend ) and added apples and kielbasa to dip .,positive,positive,neutral
19988.0,"The service was attentive , yet unimposing , the food was far better than many notorious restaurants in Midtown and the wine list is extensive and well priced .",positive,positive,positive
19992.0,"This is such a lovely , peaceful place to eat outside .",positive,positive,positive
19996.0,The quality of food at this restaurant accompanied by fantastic live jazz makes this place a perfect 10 !,positive,positive,positive
20000.0,"Ambience is delightful , service impeccable .",positive,positive,positive
20004.0,The pizza is delicious and the proprietor is one of the nicest in NYC .,positive,positive,positive
20008.0,The waiter was attentive .,negative,positive,neutral
20012.0,"Late nite omelletes are not good here , there is no variety !",positive,negative,negative
20016.0,The entertainment was great they have shows that go on through out the dinner .,positive,positive,positive
20020.0,For those prices and the dressed up atmosphere you expect more and should get more .,positive,negative,neutral
20024.0,And they provided a delicious dessert on the house !,positive,positive,positive
20028.0,"Do n't go alone -- -even two people is n't enough for the whole experience , with pickles and a selection of meats and seafoods .",positive,positive,positive
20032.0,"Having discovered Ping 's on the internet , we entered with qualms but were instantly put to ease by the fish tanks that greet you as u walk in .",positive,positive,positive
20036.0,Great value for the quality ingredients .,positive,positive,positive
20040.0,The bar has various selections and the mixed drink special is a catcher ! 2 for 1 's .,positive,positive,positive
20044.0,Fish was overdone .,negative,negative,neutral
20048.0,Monday nights are a bargain at the $ 28 prix fix - this includes a three course meal plus *three* glasses of wine paired with each course .,positive,positive,positive
20052.0,"The kitchen however , is almost always slow .",negative,negative,neutral
